Name,Method,File,Student,Question,Result,Time,Index,Gold_Wrong,Total_Answered,Gender,Age,Education,Relationship,Department,Crowdsourcing_Knowledge,Crowdsourcing_Use
Ivan,Expert,/1_1.png:norm,1,1,0,0.0,0,0,105,,,,,,,
Ivan,Expert,/1_2.png:norm,1,2,1,0.0,1,0,105,,,,,,,
Ivan,Expert,/1_3.png:norm,1,3,1,0.0,2,0,105,,,,,,,
Ivan,Expert,/1_4.png:norm,1,4,2,0.0,3,0,105,,,,,,,
Ivan,Expert,/1_5.png:norm,1,5,0,0.0,4,0,105,,,,,,,
Ivan,Expert,/1_6.png:norm,1,6,2,0.0,5,0,105,,,,,,,
Ivan,Expert,/1_7.png:norm,1,7,2,0.0,6,0,105,,,,,,,
Ivan,Expert,/1_8.png:norm,1,8,0,0.0,7,0,105,,,,,,,
Ivan,Expert,/1_9.png:norm,1,9,4,0.0,8,0,105,,,,,,,
Ivan,Expert,/2_1.png:norm,2,1,4,0.0,9,0,105,,,,,,,
Ivan,Expert,/2_2.png:norm,2,2,4,0.0,10,0,105,,,,,,,
Ivan,Expert,/2_3.png:norm,2,3,1,0.0,11,0,105,,,,,,,
Ivan,Expert,/2_4.png:norm,2,4,2,0.0,12,0,105,,,,,,,
Ivan,Expert,/2_5.png:norm,2,5,4,0.0,13,0,105,,,,,,,
Ivan,Expert,/2_6.png:norm,2,6,0,0.0,14,0,105,,,,,,,
Ivan,Expert,/2_7.png:norm,2,7,4,0.0,15,0,105,,,,,,,
Ivan,Expert,/2_8.png:norm,2,8,4,0.0,16,0,105,,,,,,,
Ivan,Expert,/2_9.png:norm,2,9,4,0.0,17,0,105,,,,,,,
Ivan,Expert,/3_1.png:norm,3,1,0,0.0,18,0,105,,,,,,,
Ivan,Expert,/3_2.png:norm,3,2,4,0.0,19,0,105,,,,,,,
Ivan,Expert,/3_3.png:norm,3,3,1,0.0,20,0,105,,,,,,,
Ivan,Expert,/3_4.png:norm,3,4,4,0.0,21,0,105,,,,,,,
Ivan,Expert,/3_5.png:norm,3,5,4,0.0,22,0,105,,,,,,,
Ivan,Expert,/3_6.png:norm,3,6,4,0.0,23,0,105,,,,,,,
Ivan,Expert,/3_7.png:norm,3,7,4,0.0,24,0,105,,,,,,,
Ivan,Expert,/3_8.png:norm,3,8,4,0.0,25,0,105,,,,,,,
Ivan,Expert,/3_9.png:norm,3,9,4,0.0,26,0,105,,,,,,,
Ivan,Expert,/4_1.png:norm,4,1,1,0.0,27,0,105,,,,,,,
Ivan,Expert,/4_2.png:norm,4,2,2,0.0,28,0,105,,,,,,,
Ivan,Expert,/4_3.png:norm,4,3,1,0.0,29,0,105,,,,,,,
Ivan,Expert,/4_4.png:norm,4,4,1,0.0,30,0,105,,,,,,,
Ivan,Expert,/4_5.png:norm,4,5,4,0.0,31,0,105,,,,,,,
Ivan,Expert,/4_6.png:norm,4,6,2,0.0,32,0,105,,,,,,,
Ivan,Expert,/4_7.png:norm,4,7,0,0.0,33,0,105,,,,,,,
Ivan,Expert,/4_8.png:norm,4,8,1,0.0,34,0,105,,,,,,,
Ivan,Expert,/4_9.png:norm,4,9,1,0.0,35,0,105,,,,,,,
Ivan,Expert,4_10.png:norm,4,10,4,0.0,36,0,105,,,,,,,
Ivan,Expert,4_11.png:norm,4,11,0,0.0,37,0,105,,,,,,,
Ivan,Expert,4_12.png:norm,4,12,1,0.0,38,0,105,,,,,,,
Ivan,Expert,4_13.png:norm,4,13,0,0.0,39,0,105,,,,,,,
Ivan,Expert,/5_1.png:norm,5,1,1,0.0,40,0,105,,,,,,,
Ivan,Expert,/5_2.png:norm,5,2,4,0.0,41,0,105,,,,,,,
Ivan,Expert,/5_3.png:norm,5,3,3,0.0,42,0,105,,,,,,,
Ivan,Expert,/5_4.png:norm,5,4,0,0.0,43,0,105,,,,,,,
Ivan,Expert,/5_5.png:norm,5,5,0,0.0,44,0,105,,,,,,,
Ivan,Expert,/5_6.png:norm,5,6,0,0.0,45,0,105,,,,,,,
Ivan,Expert,/5_7.png:norm,5,7,2,0.0,46,0,105,,,,,,,
Ivan,Expert,/5_8.png:norm,5,8,0,0.0,47,0,105,,,,,,,
Ivan,Expert,/5_9.png:norm,5,9,0,0.0,48,0,105,,,,,,,
Ivan,Expert,5_10.png:norm,5,10,4,0.0,49,0,105,,,,,,,
Ivan,Expert,5_11.png:norm,5,11,4,0.0,50,0,105,,,,,,,
Ivan,Expert,5_12.png:norm,5,12,4,0.0,51,0,105,,,,,,,
Ivan,Expert,5_13.png:norm,5,13,3,0.0,52,0,105,,,,,,,
Ivan,Expert,/6_1.png:norm,6,1,1,0.0,53,0,105,,,,,,,
Ivan,Expert,/6_2.png:norm,6,2,2,0.0,54,0,105,,,,,,,
Ivan,Expert,/6_3.png:norm,6,3,4,0.0,55,0,105,,,,,,,
Ivan,Expert,/6_4.png:norm,6,4,4,0.0,56,0,105,,,,,,,
Ivan,Expert,/6_5.png:norm,6,5,0,0.0,57,0,105,,,,,,,
Ivan,Expert,/6_6.png:norm,6,6,4,0.0,58,0,105,,,,,,,
Ivan,Expert,/6_7.png:norm,6,7,4,0.0,59,0,105,,,,,,,
Ivan,Expert,/6_8.png:norm,6,8,2,0.0,60,0,105,,,,,,,
Ivan,Expert,/6_9.png:norm,6,9,4,0.0,61,0,105,,,,,,,
Ivan,Expert,6_10.png:norm,6,10,4,0.0,62,0,105,,,,,,,
Ivan,Expert,6_11.png:norm,6,11,4,0.0,63,0,105,,,,,,,
Ivan,Expert,6_12.png:norm,6,12,4,0.0,64,0,105,,,,,,,
Ivan,Expert,6_13.png:norm,6,13,2,0.0,65,0,105,,,,,,,
Ivan,Expert,/7_1.png:norm,7,1,4,0.0,66,0,105,,,,,,,
Ivan,Expert,/7_2.png:norm,7,2,4,0.0,67,0,105,,,,,,,
Ivan,Expert,/7_3.png:norm,7,3,1,0.0,68,0,105,,,,,,,
Ivan,Expert,/7_4.png:norm,7,4,1,0.0,69,0,105,,,,,,,
Ivan,Expert,/7_5.png:norm,7,5,4,0.0,70,0,105,,,,,,,
Ivan,Expert,/7_6.png:norm,7,6,4,0.0,71,0,105,,,,,,,
Ivan,Expert,/7_7.png:norm,7,7,4,0.0,72,0,105,,,,,,,
Ivan,Expert,/7_8.png:norm,7,8,0,0.0,73,0,105,,,,,,,
Ivan,Expert,/7_9.png:norm,7,9,2,0.0,74,0,105,,,,,,,
Ivan,Expert,7_10.png:norm,7,10,1,0.0,75,0,105,,,,,,,
Ivan,Expert,7_11.png:norm,7,11,4,0.0,76,0,105,,,,,,,
Ivan,Expert,7_12.png:norm,7,12,3,0.0,77,0,105,,,,,,,
Ivan,Expert,7_13.png:norm,7,13,2,0.0,78,0,105,,,,,,,
Ivan,Expert,/8_1.png:norm,8,1,4,0.0,79,0,105,,,,,,,
Ivan,Expert,/8_2.png:norm,8,2,3,0.0,80,0,105,,,,,,,
Ivan,Expert,/8_3.png:norm,8,3,1,0.0,81,0,105,,,,,,,
Ivan,Expert,/8_4.png:norm,8,4,2,0.0,82,0,105,,,,,,,
Ivan,Expert,/8_5.png:norm,8,5,4,0.0,83,0,105,,,,,,,
Ivan,Expert,/8_6.png:norm,8,6,4,0.0,84,0,105,,,,,,,
Ivan,Expert,/8_7.png:norm,8,7,4,0.0,85,0,105,,,,,,,
Ivan,Expert,/8_8.png:norm,8,8,2,0.0,86,0,105,,,,,,,
Ivan,Expert,/8_9.png:norm,8,9,1,0.0,87,0,105,,,,,,,
Ivan,Expert,8_10.png:norm,8,10,1,0.0,88,0,105,,,,,,,
Ivan,Expert,8_11.png:norm,8,11,3,0.0,89,0,105,,,,,,,
Ivan,Expert,8_12.png:norm,8,12,0,0.0,90,0,105,,,,,,,
Ivan,Expert,8_13.png:norm,8,13,4,0.0,91,0,105,,,,,,,
Ivan,Expert,/9_1.png:gold,9,1,4,0.0,92,0,105,,,,,,,
Ivan,Expert,/9_2.png:gold,9,2,4,0.0,93,0,105,,,,,,,
Ivan,Expert,/9_3.png:gold,9,3,4,0.0,94,0,105,,,,,,,
Ivan,Expert,/9_4.png:gold,9,4,4,0.0,95,0,105,,,,,,,
Ivan,Expert,/9_5.png:gold,9,5,4,0.0,96,0,105,,,,,,,
Ivan,Expert,/9_6.png:gold,9,6,4,0.0,97,0,105,,,,,,,
Ivan,Expert,/9_7.png:gold,9,7,4,0.0,98,0,105,,,,,,,
Ivan,Expert,/9_8.png:gold,9,8,4,0.0,99,0,105,,,,,,,
Ivan,Expert,/9_9.png:gold,9,9,4,0.0,100,0,105,,,,,,,
Ivan,Expert,9_10.png:gold,9,10,4,0.0,101,0,105,,,,,,,
Ivan,Expert,9_11.png:gold,9,11,4,0.0,102,0,105,,,,,,,
Ivan,Expert,9_12.png:gold,9,12,4,0.0,103,0,105,,,,,,,
Ivan,Expert,9_13.png:gold,9,13,4,0.0,104,0,105,,,,,,,
